RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP Learnability,Last Graduation,RFP Communicability,RFP Avg TRACK Score,TechCategory,Year,Practice Head
88.0,1,2,2.22,0.82,0.9,3,0.64,2.35,1,2021.0,3
89.0,0,3,3.98,1.53,1.56,6,0.76,3.85,2,2019.0,4
95.0,0,2,3.8,1.47,1.52,0,0.78,3.77,2,2019.0,4
100.0,0,2,3.54,1.3,1.47,3,0.81,3.58,0,2020.0,3
87.0,0,3,3.64,1.43,1.42,4,0.8,3.65,0,2019.0,0
55.0,0,2,3.34,1.47,1.66,3,0.89,4.02,0,2018.0,4
78.0,0,2,4.07,1.45,1.42,3,0.63,3.5,2,2020.0,2
63.0,1,3,4.21,1.56,1.74,3,0.82,4.11,2,2021.0,3
100.0,0,2,4.04,1.46,1.57,4,0.85,3.88,2,2020.0,2
98.0,0,2,3.92,1.4,1.57,4,0.83,3.81,2,2021.0,2
100.0,0,2,4.04,1.4,1.63,4,0.83,3.86,2,2021.0,2
93.0,0,3,3.86,1.52,1.54,4,0.76,3.82,2,2019.0,3
89.0,0,3,3.8,1.38,1.39,4,0.76,3.53,2,2020.0,0
81.0,0,3,3.98,1.33,1.52,4,0.83,3.68,0,2020.0,3
100.0,0,3,3.74,1.43,1.46,3,0.88,3.77,2,2018.0,0
56.0,1,2,3.34,1.36,1.41,3,0.75,3.51,0,2019.0,2
74.0,0,3,4.52,1.66,1.79,3,0.91,4.36,2,2020.0,3
98.0,1,2,3.74,1.39,1.53,2,0.74,3.67,0,2021.0,4
89.0,0,3,4.1,1.48,1.46,4,0.93,3.87,0,2018.0,0
98.0,1,2,3.76,1.49,1.54,3,0.61,3.64,0,2018.0,3
87.0,0,3,3.5,1.4,1.4,4,0.7,3.5,2,2021.0,0
97.0,0,2,3.36,1.35,1.38,4,0.74,3.47,0,2020.0,0
70.0,1,2,3.35,1.13,1.37,4,0.68,3.19,0,2020.0,0
51.0,1,2,3.34,1.35,1.44,3,0.8,3.59,3,2022.0,0
100.0,1,2,3.74,1.31,1.41,5,0.75,3.47,2,2022.0,0
98.0,0,3,3.92,1.25,1.51,6,0.83,3.59,2,2021.0,0
90.0,0,2,3.43,1.41,1.45,3,0.75,3.61,2,2021.0,0
98.0,1,2,3.61,1.37,1.41,5,0.74,3.51,2,2022.0,0
91.0,0,2,3.67,1.49,1.59,4,0.84,3.91,0,2015.0,2
63.0,1,2,3.48,1.2,1.51,5,0.67,3.38,0,2022.0,0
85.0,1,2,3.33,1.31,1.33,0,0.7,3.34,1,2020.0,0
66.0,1,2,3.26,1.21,1.42,3,0.67,3.31,3,2020.0,0
94.0,0,2,3.49,1.49,1.51,3,0.76,3.76,2,2020.0,2
100.0,1,2,2.8,1.08,1.18,0,0.68,2.95,2,2018.0,2
64.0,0,2,3.7,1.25,1.72,5,0.85,3.82,0,2020.0,4
79.0,0,3,3.73,1.46,1.58,5,0.92,3.95,2,2021.0,4
66.0,1,2,3.24,1.07,1.49,4,0.8,3.36,3,2019.0,4
64.0,1,2,3.74,1.29,1.52,4,0.81,3.62,3,2020.0,2
71.0,0,0,3.74,1.37,1.59,4,0.88,3.85,3,2020.0,2
98.0,0,2,3.85,1.46,1.54,4,0.68,3.68,2,2020.0,2
